INCIDENT_NUMBER,IMPACT,URGENCY,PRIORITY,STATUS,STATUS_REASON,LAST_MODIFIED_BY,LAST_MODIFIED_DATE,REPORTED_DATE,RESPONDED_DATE,EPOCHTODATE(CLOSED_DATE),OWNER_GROUP,OWNER,MANUFACTURER,PRODUCT_MODEL_VERSION,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,SERVICECI,HPD_CI,CI,SERVICE,COMPANY,CATEGORIZATION_TIER_1,CATEGORIZATION_TIER_2,CATEGORIZATION_TIER_3,REPORTED_SOURCE,ASSIGNED_GROUP,ASSIGNEE,CATEGORY,RESOLUTION_CATEGORY,RESOLUTION_METHOD,RESOLUTION_CATEGORY_TIER_2,RESOLUTION_CATEGORY_TIER_3,RESOLUTION,DESCRIPTION,DETAILED_DESCRIPTION
PDINC0001257634,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-oradev-17b,Daily_Unix_2 completedFailed:  phx-oradev-17b--- Unsuccessful Save Sets ---* phx-oradev-17b:/u308/oradata/test-rf abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u308/oradata/test-t abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u307/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u507/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u306/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u506/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u508/oradata/test-f abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u508/oradata/test-t abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u300/oradata/test abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u501/oradata/test abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u107/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is
PDINC0001257644,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-j2eebuild-01,"Daily_Unix_2 completedFailed:  phx-j2eebuild-01--- Unsuccessful Save Sets ---* phx-j2eebuild-01:/boot 3 retries attempted* phx-j2eebuild-01:/boot 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/boot * phx-j2eebuild-01:/boot 5777:save: Cannot open save session with phx-br-01-bk     * <ERROR> :  Failed with error(s)* phx-j2eebuild-01:/tmp 3 retries attempted* phx-j2eebuild-01:/tmp 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/tmp * phx-j2eebuild-01:/tmp 5777:save: Cannot open save session with phx-br-01-bk     * <ERROR> :  Failed with error(s)* phx-j2eebuild-01:/var 3 retries attempted* phx-j2eebuild-01:/var 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/var * phx-j2eebuild-01:/var 5777:save: Cannot open save session with phx-br-01-bk* phx-j2eebuild-01:/bmc 3 retries attempted* phx-j2eebuild-01:/bmc 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/bmc * phx-j2eebuild-01:/bmc 5777:save: Cannot open save session with phx-br-01-bk* phx-j2eebuild-01:/opt 3 retries attempted* phx-j2eebuild-01:/opt 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/opt * phx-j2eebuild-01:/opt 5777:save: Cannot open save session with phx-br-01-bk* phx-j2eebuild-01:/usr 3 retries attempted* phx-j2eebuild-01:/usr 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/usr * phx-j2eebuild-01:/usr 5777:save: Cannot open save session with phx-br-01-bk* phx-j2eebuild-01:/ 3 retries attempted* phx-j2eebuild-01:/ 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/ * phx-j2eebuild-01:/ 5777:save: Cannot open save session with phx-br-01-bk--- Successful Save Sets ---* phx-j2eebuild-01:All savefs phx-j2eebuild-01: succeeded.  phx-br-01: index:phx-j2eebuild-01 level=9,      7416 KB 00:00:17     13 files"
PDINC0001257649,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-rnd-scm2,"Daily_Unix_2 completedFailed:  phx-rnd-scm2--- Unsuccessful Save Sets ---* phx-rnd-scm2:/cluster 3 retries attempted* phx-rnd-scm2:/cluster 39077:save: error, no matching devices for save of client `phx-rnd-scm2'; check storage nodes, devices or pools* phx-rnd-scm2:/cluster * phx-rnd-scm2:/cluster 5777:save: Cannot open save session with phx-br-01-bk* phx-rnd-scm2:/boot 3 retries attempted* phx-rnd-scm2:/boot 39077:save: error, no matching devices for save of client `phx-rnd-scm2'; check storage nodes, devices or pools* phx-rnd-scm2:/boot * phx-rnd-scm2:/boot 5777:save: Cannot open save session with phx-br-01-bk* phx-rnd-scm2:/ 3 retries attempted* phx-rnd-scm2:/ 39077:save: error, no matching devices for save of client `phx-rnd-scm2'; check storage nodes, devices or pools* phx-rnd-scm2:/ * phx-rnd-scm2:/ 5777:save: Cannot open save session with phx-br-01-bk--- Successful Save Sets ---type: NSR client description;pools supported: Yes;browse time supported: Yes;multiple balanced streams supported: Yes;remote user: root;groups: root;client OS type: Linux;CPU type: x86_64;CPUs: 4;kernel arch: x86_64;machine type: desktop;MB used: 22414;NetWorker version: 7.5.1.Build.269;OS: Linux 2.6.18-164.6.1.el5;version: 7.5.1.Build.269;save set: path=/, level=full, diskno=1, max_sessions=2, stype=save,\path=/boot, level=full, diskno=1, max_sessions=2, stype=save,\path=/cluster, level=full, diskno=0, max_sessions=1, stype=save ;parallelism: 8  phx-br-01: index:phx-rnd-scm2     level=9,       139 KB 00:00:14      8 files"
PDINC0001257657,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-tokenweb-01,"Daily_Unix_2 completedFailed:  phx-tokenweb-01--- Unsuccessful Save Sets ---* phx-tokenweb-01:/boot 3 retries attempted* phx-tokenweb-01:/boot 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/boot * phx-tokenweb-01:/boot 5777:save: Cannot open save session with phx-br-01* phx-tokenweb-01:/bmc 3 retries attempted* phx-tokenweb-01:/bmc 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/bmc * phx-tokenweb-01:/bmc 5777:save: Cannot open save session with phx-br-01     * <ERROR> :  Failed with error(s)* phx-tokenweb-01:/opt 3 retries attempted* phx-tokenweb-01:/opt 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/opt * phx-tokenweb-01:/opt 5777:save: Cannot open save session with phx-br-01     * <ERROR> :  Failed with error(s)* phx-tokenweb-01:/usr 3 retries attempted* phx-tokenweb-01:/usr 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/usr * phx-tokenweb-01:/usr 5777:save: Cannot open save session with phx-br-01* phx-tokenweb-01:/tmp 3 retries attempted* phx-tokenweb-01:/tmp 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/tmp * phx-tokenweb-01:/tmp 5777:save: Cannot open save session with phx-br-01     * <ERROR> :  Failed with error(s)* phx-tokenweb-01:/var 3 retries attempted* phx-tokenweb-01:/var 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/var * phx-tokenweb-01:/var 5777:save: Cannot open save session with phx-br-01     * <ERROR> :  Failed with error(s)* phx-tokenweb-01:/ 3 retries attempted* phx-tokenweb-01:/ 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/ * phx-tokenweb-01:/ 5777:save: Cannot open save session with phx-br-01--- Successful Save Sets ---type: NSR client description;pools supported: Yes;browse time supported: Yes;multiple balanced streams supported: Yes;remote user: root;groups: root;client OS type: Linux;CPU type: x86_64;CPUs: 2;kernel arch: x86_64;machine typ"
PDINC0001257940,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,25-Jan-13,10-Jan-13,10-Jan-13,25-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Isaac Oral Robert,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001257971,Moderate/Limited,Medium,Medium,Closed,19000,AR_ESCALATOR,29-Jan-13,10-Jan-13,10-Jan-13,29-Jan-13,Application Services,,BMC Software Internal,,IT,COTS,Other,Perforce,,,,BMC Software Inc.,Infrastructure Services,Unix Servers,Perforce,,Application Services,Jomon Palathingal,,,Remote Assistance/Tool,,,Worked with user on IM and resolved the issue.,Need permission to 'get latest version',Need permission to 'get latest version' into workspace.Ref# REQ1016902
PDINC0001257974,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,25-Jan-13,10-Jan-13,10-Jan-13,25-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Paresh Prabhudesai,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001257977,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,25-Jan-13,11-Jan-13,11-Jan-13,25-Jan-13,Global Networking,,BMC Internal,,Service,IT-Service,Infrastructure,LAN,,,,BMC Software Inc.,Infrastructure Services,Networking,LAN,,Global Networking,Adarsh Puthran,,Network,Remote Assistance/Tool,LAN,Network Drop,Confirmed from user everything is working,"Network Team,We are not able to ping Phx-br-store01-net01.bmc.com from phx-br-03-app. Please che","Network Team,We are not able to ping Phx-br-store01-net01.bmc.com from phx-br-03-app. Please check from network end...Helpdesk : Please assign this to Adarsh from global networking team...-Harshad"
PDINC0001258415,Minor/Localized,Medium,Medium,Closed,19000,AR_ESCALATOR,26-Jan-13,11-Jan-13,11-Jan-13,26-Jan-13,EMEA IS,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Infrastructure Services,User Access Admin,Access Request Forms,,Service Desk,Prashant Singbal,,,Service Desk assisted,,,Access granted to the network folder as per request.,Please give Michelle Phillips access to to HR folder on egh-sales-02. She will need to be added to t,Please give Michelle Phillips access to to HR folder on egh-sales-02. She will need to be added to the HR-Change group.
PDINC0001258460,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,26-Jan-13,11-Jan-13,11-Jan-13,26-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Jitendra Wadhwani,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001258501,Moderate/Limited,High,High,Closed,19000,AR_ESCALATOR,30-Jan-13,11-Jan-13,11-Jan-13,30-Jan-13,Americas Client Services,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Desktop Support,Software,Other Failures,,Americas Client Services,Carey Thomas,,,On-Site Support,,,"User was getting invalid time zone bias error. Removed EEPC, repaired file structure, scanned for viruses, reinstalled EEPC. Rebooted and tested successfully.",user is getting an error when trying to login to MacAfee endpoint encryption.,user is getting an error when trying to login to MacAfee endpoint encryption.
PDINC0001258940,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,28-Jan-13,12-Jan-13,12-Jan-13,28-Jan-13,Sales Apps Supp,,,,,,,,,,,BMC Software Inc.,Business Application,Sales & Marketing,Salesforce.com Administration,1000,Sales Apps Supp,Mounika Koppula,,,Remote Assistance/Tool,,,User account has been inactivated in SFDC for emp no 61546,Inactivate user at BMC SFDC failed.,"Employee Number : 61546     Error Message :  com.oracle.bpel.client.BPELFault: faultName: {{http://schemas.oracle.com/bpel/extension}remoteFault}messageType: {{http://schemas.oracle.com/bpel/extension}RuntimeFaultMessage}parts: {{summary=<summary xmlns:def=""http://www.w3.org/2001/XMLSchema"" xsi:type=""def:string"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Inactivate to BMC SFDC failed</summary>,detail=<detail>group membership operation already in progress</detail>,code=<code>UNKNOWN_EXCEPTION</code>}"
PDINC0001259377,Extensive/Widespread,Critical,Critical,Closed,19000,AR_ESCALATOR,28-Jan-13,13-Jan-13,13-Jan-13,28-Jan-13,Application Integration,,,,,,,,,,,BMC Software Inc.,Infrastructure Services,Application Integration,EAI Infrastructure,1000,Application Integration,Sashikanth Kadiyala,,,Self-Service,,,verified connection and resumed trigger,[PROD] ERROR: BMC_Gateway Document Forward,java.net.SocketTimeoutException: Read timed outDocument type: BMC_AAE_Documents.Asset:updateAssetRetry count:       0Retry maximum:     2Retries remaining: 2Forward ConfigurationAddress:  http://osb.bmc.com/OSB_Services/BMC_Gateway/Service/ProxyServices/DispatcherPSUsername: %/configuration/forward/username%[Server: phx-eaieda-prd1:9120]
PDINC0001258836,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,28-Jan-13,13-Jan-13,13-Jan-13,28-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Password Management,Passport,6000,Service Desk,Jitendra Wadhwani,,,Service Desk assisted,,,Reset Domain Password as Requested & provided it to the User,Domain Password Reset Request,User called in requesting a Domain password reset
PDINC0001260033,Minor/Localized,Medium,Medium,Closed,19000,AR_ESCALATOR,29-Jan-13,14-Jan-13,14-Jan-13,29-Jan-13,Service Desk,,BMC Internal,,IT,COTS,Other,Microsoft Office,,,,BMC Software Inc.,Business Application,Email/Calendar,Outlook email & calendar,6000,Service Desk,Jitendra Wadhwani,,,Service Desk assisted,,,Outlook asking from Mailbox credentialstried entering mailbox username and password was unable to connect mapped mailbox profile still was getting prompt for credentials checked in windowd cache and removed stored password tried opening outlookit worked,Outlook/Email Issue,Outlook asking from Mailbox credential
PDINC0001260088,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,29-Jan-13,14-Jan-13,14-Jan-13,29-Jan-13,Sales Service Desk,,BMC Software Internal,,IT,COTS,Other,McAfee EMM,,,,BMC Software Inc.,Blackberry and Mobiles,Ipad and Iphones,Email Issues,,Sales Service Desk,John Davulcu,,,Service Desk assisted,,,setup wifi on iphone and also receiving mail now,iphone email and wifi,iphone email and wifi
PDINC0001260420,Minor/Localized,Medium,Medium,Closed,19000,AR_ESCALATOR,29-Jan-13,14-Jan-13,14-Jan-13,29-Jan-13,Service Desk,,BMC Internal,,IT,COTS,Other,Microsoft Office,,,,BMC Software Inc.,Business Application,Email/Calendar,Outlook email & calendar,6000,Service Desk,Jitendra Wadhwani,,,Service Desk assisted,,,Checked Mailbox Size was more than 500mbHelped user to create pst folders and move data,Unable to send and receive emails,Unable to send and receive emails
PDINC0001260461,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,30-Jan-13,15-Jan-13,15-Jan-13,30-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Pinaak Bam,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001260510,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,30-Jan-13,15-Jan-13,15-Jan-13,30-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Vishal Gole,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001261021,Minor/Localized,Medium,Medium,Closed,19000,AR_ESCALATOR,30-Jan-13,15-Jan-13,15-Jan-13,30-Jan-13,Service Desk,,BMC Internal,,IT,COTS,Other,Microsoft Office,,,,BMC Software Inc.,Business Application,Email/Calendar,Outlook email & calendar,6000,Service Desk,Paresh Prabhudesai,,,Service Desk assisted,,,provided required information,Outlook/Email Issue,User reported receiving email\meeting request from employee who is no longer part of the organization.Ex employee Deborah Barnes who had left in November and the mail user received was on 11th Jan 2013.Janice wants to make sure system access has been removed for Deborah.
PDINC0001261037,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,1-Feb-13,15-Jan-13,15-Jan-13,1-Feb-13,Enterprise WINTEL Applications,,BMC Internal,,IT,COTS,Other,Microsoft Exchange,,,,BMC Software Inc.,Infrastructure Services,Intel/NT Servers,Exchange,,Enterprise WINTEL Applications,Raju Gavandi,,,Remote Assistance/Tool,,,This has been fixed.,My name is not listed in the GAL,My name is not listed in the GAL
PDINC0001261093,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,30-Jan-13,15-Jan-13,15-Jan-13,30-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Paresh Prabhudesai,,,Service Desk assisted,,,unlocked account and pinged user that account is getting locked in LBEAULIEU-D960 as call got disconnected.,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001261421,Moderate/Limited,Medium,Medium,Closed,19000,AR_ESCALATOR,31-Jan-13,16-Jan-13,16-Jan-13,31-Jan-13,Provisioning,,BMC Software Internal,,Service,IT-Service,Infrastructure,Storage Hosting,,,,BMC Software Inc.,Infrastructure Services,Storage,Compellent Storage,,Storage Support,Suhas Shinde,,,Remote Assistance/Tool,,,Lun extended,Please extend LUN aus-hdsvsp-01:10:10-cs-premiere-sppt04 in Austin General Pool for below request.,"Please extend LUN aus-hdsvsp-01:10:10-cs-premiere-sppt04 in Austin General Pool for below request.Request Id  REQ000001038192Work Order Id  PDWO00000886894Requestor  Sugata BanerjeeContact Lead Bonnie Smith SmithPL PF   Customer Support / Premier Americas Location  USA Austin Quantity:  1OS   ESX 4.0 installedHardware X86_64Database  NoConfiguration CPU: 2, Memory: 12GB, HD: 250GBTotal LUN: 250 GBThanksShantanu"
PDINC0001261469,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,31-Mar-13,16-Jan-13,16-Jan-13,31-Mar-13,Israel PC/Networking,,BMC Software Internal,,IT,COTS,Other,Microsoft Windows,,,,BMC Software Inc.,Infrastructure Services,Intel/NT Servers,Provisioning,,Provisioning,Atul Sarda,,,Remote Assistance/Tool,,,As per the request server is provisioned on Houston production VC.,provision Prod VM hou-relayprd-02,"pls provision an additional Exchange Relay server in Houston Prod VM. attached the Guest Questionaireprovision Prod VM hou-relayprd-02Thanks,Rika"
PDINC0001261846,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,31-Jan-13,16-Jan-13,16-Jan-13,31-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Sandeep Kamath,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001261902,Moderate/Limited,Medium,Medium,Closed,19000,AR_ESCALATOR,1-Feb-13,17-Jan-13,17-Jan-13,1-Feb-13,IT-Accounts Payable,,BMC Software Internal,,IT,COTS,Other,Oracle General Ledger,,,,BMC Software Inc.,Business Application,Financial Applications,Project Accounting - R&D US,,Finance Apps Admin,Yogesh Deshpande,,,Remote Assistance/Tool,,,done,please execute attached implementation plan on ebizqa,please execute attached implementation plan on ebizqa
PDINC0001261910,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,1-Feb-13,17-Jan-13,17-Jan-13,1-Feb-13,Service Desk,,BMC Software Internal,,IT,COTS,Other,Microsoft Windows,,,,BMC Software Inc.,Phones,Voicemail,Password Reset,6000,Service Desk,Maulik Shah,,,Service Desk assisted,,,"Reset password - password did not work - had user remove laptop from docking station and then type password (after connecting LAN cable) - it worked - asked user to shut down laptop after an hour, dock, and then try p assword.",Adprod password change assistance,Adprod password change assistance.
PDINC0001262561,Minor/Localized,Medium,Medium,Closed,19000,AR_ESCALATOR,1-Feb-13,17-Jan-13,17-Jan-13,1-Feb-13,Service Desk,,BMC Internal,,IT,COTS,Other,Blackberry,,,,BMC Software Inc.,Blackberry and Mobiles,Blackberry,Enterprise Activation / Re-Activation,6000,Service Desk,Jitendra Wadhwani,,,Service Desk assisted,,,Set activation password for the user and informed the user to try the same on the device .,Blackberry Email Activation Request,Request to Get Blackberry Device Activated for Emails on the BES Server
PDINC0001262562,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,1-Feb-13,17-Jan-13,17-Jan-13,1-Feb-13,Service Desk,,,,Service,IT-Service,Infrastructure,Wireless Networking,,,,BMC Software Inc.,Service Desk,Informational Request,Information,6000,Service Desk,Jitendra Wadhwani,,,Service Desk assisted,,,Mail send to user to Configure BMC Wi-Fi,Information Request,User wanted to Connect BMC WiFi
PDINC0001262576,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,1-Feb-13,17-Jan-13,17-Jan-13,1-Feb-13,Service Desk,,BMC Internal,,IT,COTS,Other,Blackberry,,,,BMC Software Inc.,Service Desk,Informational Request,Information,6000,Service Desk,Venkat Subramaniam,,,Service Desk assisted,,,Asked user to contact store and get the same enabled,Information Request,User called at the service desk telling she got a replacement i phone from store and the same is not working.
PDINC0001262575,Moderate/Limited,Medium,Medium,Closed,19000,AR_ESCALATOR,1-Feb-13,17-Jan-13,17-Jan-13,1-Feb-13,Service Desk,,BMC Internal,,IT,COTS,Other,Blackberry,,,,BMC Software Inc.,Blackberry and Mobiles,Ipad and Iphones,Email Issues,6000,Service Desk,Sandeep Kamath,,Phone Systems,Service Desk assisted,Software,Reset,Added the user to the exchange activesync group and asked her to wait for an hour.,ActiveSync activation for iPhone.,ActiveSync activation for iPhone.
PDINC0001262594,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,5-Feb-13,17-Jan-13,17-Jan-13,5-Feb-13,Service Desk,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Desktop Support,Virus,Spyware Issue,6000,Americas Client Services - Remote,Bryant Rydberg,,,On-Site Support,,,Laptop has been reimaged and dat restored. Will ship system back for Wed delivery.,System infected,System infected
